phonemes,ground_truth,prediction
ɪn dɛɾ lantvɪɾtʃaftlɪç ɡəpɾɛːktən ɡeːɡənt ɡɑːp ɛs fryːɜ ɛntlaŋ dɛs baxs diːvɛɾzə vasɜmyːlən,In der landwirtschaftlich geprägten Gegend gab es früher entlang des Bachs diverse Wassermühlen.,In der Landwirtschaftlich geprägten gegend gab es früher Entlang des Bachs dieser Wassermühlen.
ɪç mœçtə iːnən tsuː iːrɜ ɛɾfɔlɡɾaɪçən pɾɛːziːdɛntʃaft ɡɾɑtuːliːrən,Ich möchte Ihnen zu Ihrer erfolgreichen Präsidentschaft gratulieren.,Ich möchte Ihnen zu ihrer erfolgreichen Präsidentschaft gratulieren.
vɛːrə ɛs nɪçt an dɛɾ tsaɪt fɔm ??ʃpɾyŋlɪçən tsiːl apʃtant tsuː neːmən,"Wäre es nicht an der Zeit, vom ursprünglichen Ziel Abstand zu nehmen?",Wäre es nicht an der Zeit vom ursprünglichen Ziel abstand zu nehmen?
diːs d??çtsuːfyːrən ɪst yːbɜaʊs kɔmpliːtsiːɾt,Dies durchzuführen ist überaus kompliziert.,Dies durchzuführen ist überaus kompliziert.
ziː fɔlktə iːm ɛtvɑːs ʃpɛːtɜ nɑːx ʊnt bliːp nɑːx dɛɾ ʃaɪdʊŋ ɪn dɔøtʃlant,Sie folgte ihm etwas später nach und blieb nach der Scheidung in Deutschland.,Sie folgte ihm etwas später nach und blieb nach der Scheidung in Deutschland.
ɪç dɛŋkə meːɾ bɾaʊxə ɪç dɑːtsuː nɪçt tsuː zɑːɡən,"Ich denke, mehr brauche ich dazu nicht zu sagen.",Ich denke mehr brauche ich dazu nicht zu sagen.
ɛɾ ɡəvan dɑːmɪt diː zɪlbɜmeːdaɪlə,Er gewann damit die Silbermedaille.,Er gewann damit die Silbermedaille.
bɛɾliːnɜ bɾoːt kan aɪnɪɡə vɔxən aʊfbəvɑːɾt vɛɾdən,Berliner Brot kann einige Wochen aufbewahrt werden.,Berliner Brot kann einige Wochen aufgebaut werden.
zoː tsʊm baɪʃpiːl ɪm nɔøviːdɜ bɛkən aʊf vɪndɪɡən anhøːən dɛɾ zyːtlɪçən mɪtəlɡəbɪɾɡə,"So zum Beispiel im Neuwieder Becken, auf windigen Anhöhen der südlichen Mittelgebirge.",So zum Beispiel im Neuhäuser Becken auf wichtigen Anhäuen der südlichen Mittelgebirge.
diː fɛɾhandlʊŋ fant ʊntɜ feːdɜfyːrʊŋ dɛɾ zɔvjeːtɪʃən bəzatsʊŋsmaxt ʃtat vaɪtərə deːtaɪs zɪnt ʊnbəkant,"Die Verhandlung fand unter Federführung der sowjetischen Besatzungsmacht statt, weitere Details sind unbekannt.",Die Verhandlung fand unter Festführung der sowjetischen Besatzungsmacht statt weitere Details sind unbekannt.
ɪn deːn kɾiːksjɑːrən v??dən nuːɾ aɪnɪɡə ɔmniːbʊsliːnɪən aʊf deːn oːbɜlaɪtʊŋsbʊsbɛtɾiːp ʊmɡəʃtɛlt,In den Kriegsjahren wurden nur einige Omnibuslinien auf den Oberleitungsbusbetrieb umgestellt.,In den Kriegsjahren wurden nur einige Offizierslinien auf den Oberleitungsbusbetrieb umgestellt.
diː ɑːɾt v??də ɪnsɡeːzamt nuːɾ fiːɾ mɑːl ɡəzaməlt,Die Art wurde insgesamt nur vier Mal gesammelt.,Die Art wurde insgesamt nur vier Mal gesammelt.
diː araŋeːmɛnts tsuː deːn fɔn dɛɾ (en)sɒftweə(de) kɔmpoːniːɾtən meːloːdɪən vɛɾdən anhant aɪnɜ skɾɪptʃpɾɑːxə ɡɛneːriːɾt,Die Arrangements zu den von der Software komponierten Melodien werden anhand einer Skriptsprache generiert.,Die Angaben zu den von der Software komponierten Melodien werden anhand einer Spark-Sprache generiert.
tsuː zaɪnən bəkantəstən ʃyːlɜn tsɛːlən mɔʃə zafdiː ʊnt roːbɜt vɛntuːriː,Zu seinen bekanntesten Schülern zählen Mosche Safdie und Robert Venturi.,"Zu seinen bekanntesten Schülern zählen Mosche, Sassy und Robert Williams."
ɛçtə nɑːtuːɾtalɛntə zɪnt rɑːɾ ɡəzɛːt,Echte Naturtalente sind rar gesät.,Echte Natursteine sind rar gesetzt.
diː nɔøən hɛɾʃɜ atəns vɑːrən ɡətsvʊŋən ʃpaɾtɑː ʊm hɪlfə tsuː ruːfən,"Die neuen Herrscher Athens waren gezwungen, Sparta um Hilfe zu rufen.","Die neuen Herrscher Athens waren Gelegenheiten spita, um Hilfe zu laufen."
dɛɾ hoːf vɑːɾ tsaɪtvaɪzə masiːf ʊmmaʊɜt ʊnt hatə aʊx aɪnən aɪɡənən friːthoːf,Der Hof war zeitweise massiv ummauert und hatte auch einen eigenen Friedhof.,Der Hof war zeitweise Massif ummauert und hatte auch einen eigenen Friedhof.
ɪm falə aɪnɜ niːdɜlɑːɡə ɛɾhɛlt das (en)tiːm(de) kaɪnə pʊŋktə,Im Falle einer Niederlage erhält das Team keine Punkte.,Im Falle einer Niederlage erhält das Team keine Punkte.
dɛɾ nɑːmə v??də ʃoːn dɑːfoːɾ fyːɾ diː bətsaɪçnʊŋ dɛɾ bətɾiːpsɡeːmaɪnʃaft fɛɾvɛndət,Der Name wurde schon davor für die Bezeichnung der Betriebsgemeinschaft verwendet.,Der Name wurde schon davor für die Bezeichnung der Betriebsgemeinschaft verwendet.
diː bətaɪlɪçtən aɪnhaɪtən zɔltən aʊs dɛɾ ʃtat apɡətsoːɡən vɛɾdən,Die beteiligten Einheiten sollten aus der Stadt abgezogen werden.,Die beteiligten Einheimen sollten aus der Stadt abgezogen werden.
ɪn diːzɜ hɪnzɪçt vɑːrən ziː foːɾraɪtɜ tsɑːlraɪçɜ andərɜ kɔnstɾʊktsjoːnən,In dieser Hinsicht waren sie Vorreiter zahlreicher anderer Konstruktionen.,In dieser Hinsicht waren sie vorreiter zahlreicher anderer Konstruktionen.
hiːɾ zɔlən ziː zɪç ɪn dɛɾ pɾoːdʊktsjoːn bəvɛːrən,Hier sollen sie sich in der Produktion bewähren.,Hier sollen Sie sich in der Produktion bewähren.
diː dɪskjɔkaɪs vɑːrən ɡəʃpɾɛçɪç ʊnt diː vɛɾbeːməloːdɪən daʊɜtən ɔftmɑːls aɪnə ɡantsə miːnuːtə,Die Diskjockeys waren gesprächig und die Werbemelodien dauerten oftmals eine ganze Minute.,Die Dischockes waren gepräglich und die Werbemeloden dauerten oftmals eine ganze Minute.
tsuː diːzɜ tsaɪt vɑːɾ dɛɾ ɔɾt das tsɛntɾʊm dɛs køːnɪɡɾaɪçs vɛsɛks,Zu dieser Zeit war der Ort das Zentrum des Königreichs Wessex.,Zu dieser Zeit war der Ort das Zentrum des Königreichs Weses.
diː ɔɾɡaniːzatsjoːn ɪst als ɡəmaɪnytsɪç anɛɾkant ʊnt dɑːhɛɾ fɔn ʃtɔøɜn bəfraɪt,Die Organisation ist als gemeinnützig anerkannt und daher von Steuern befreit.,Die Organisation ist als gemeinnützig anerkannt und daher von Steuern befreit.
viːdɜzɛtsən viːɾ ʊns dɛɾ ʊm zɪç ɡɾaɪfəndən kɾaŋkhaftən fɪksiːrʊŋ aʊf das ʃaɪtɜn,Widersetzen wir uns der um sich greifenden krankhaften Fixierung auf das Scheitern!,Wiedersetzen wir uns der um sich greifenden krankhaften Fischerung auf das Scheitern.
ziː leːpt ɪn bɛɾliːn ʊnt fraŋkf??t am maɪn,Sie lebt in Berlin und Frankfurt am Main.,Sie lebt in Berlin und Frankfurt am Main.
dɑːran ɡiːpt ɛs dɔx hɛɾtslɪç veːnɪç bəliːbɪç tsuː ɪntɜpɾeːtiːrən,Daran gibt es doch herzlich wenig beliebig zu interpretieren!,Daran gibt es doch ehrlich wenig beliebt zu interpretieren.
friːdɾɪç fɪksiːɾtə deːn blɔk mɪthɪlfə dɛs ʃraʊpstɔks,Friedrich fixierte den Block mithilfe des Schraubstocks.,Friedrich entwickelte den Block Millionen des Sauerstoffs.
fʊxs leːpt ɪn hamb??kɔtɛnzən,Fuchs lebt in Hamburg-Ottensen.,Fuchs lebt in Hamburg-Kettensen.
diː ʃantsən zɔlən aʊx danax viːdɜ œftɜ fyːɾ vɛtkɛmpfə ɡənʊtst vɛɾdən,Die Schanzen sollen auch danach wieder öfter für Wettkämpfe genutzt werden.,Die Schwanzen sollen auch danach wieder Öfter für Wettbewerbe genutzt werden.
ɛɾ ʃtuːdiːɾtə aɾçiːtɛktuːɾ ʊnt dɪzaɪn diːrɛktsjoːn ɪn maɪlant,Er studierte Architektur und Design Direction in Mailand.,Er studierte Architektur und damit direktion in Mailand.
am zɪçɜstən ɡeːt ɛs mɪt aɪnəm (en)sətɪfɪkət(de) zɪɡnɪŋ reːkvəst,Am sichersten geht es mit einem Certificate Signing Request.,Am sichersten geht es mit einem Set-Five Single.
dɛɾ flʊsnɑːmə nɛtə bədɔøtət zɪnŋeːmɛːs flʊs ɪn dɛɾ niːdɜʊŋ,Der Flussname Nette bedeutet sinngemäß „Fluss in der Niederung“.,Der Flussname Nete bedeutet sinkes Fluss in der Niederung.
foːɾheːɾɾʃɛndə eːtnɪən zɪnt tuːareːk ʊnt fʊlbə,Vorherrschende Ethnien sind Tuareg und Fulbe.,Vorherschlüsse Ideen sind Tuark und Mulbe.
dɛɾ pɾeːmɪeːɾmiːnɪstɜ mʊs dɑːhɛɾ tsvɪŋənt mɪtɡliːt dɛs rɛpɾɛːzɛntantɛnhaʊzəs zaɪn,Der Premierminister muss daher zwingend Mitglied des Repräsentantenhauses sein.,Der Premierminister muss daher zwischen Mitglied des Repräsentantenhauses sein.
ziː zɪnt maɪst aɾbaɪtsloːs ʊnt ɛɾhaltən kaʊm voːnraʊm,Sie sind meist arbeitslos und erhalten kaum Wohnraum.,Sie sind meist Arbeitslos und erhalten kaum Wohnraum.
diːzəs riːziːkoː bəʃteːt ɪmɜ vɛn man zɪç k??ts fasən vɪl,"Dieses Risiko besteht immer, wenn man sich kurz fassen will.","Dieses Risiko besteht immer, wenn man sich kurz machen will."
meːɾ als aɪn ʃuːltɛɾtsʊkən vɑːɾ zamantɑː nɪçt tsuː ɛntlɔkən,Mehr als ein Schulterzucken war Samantha nicht zu entlocken.,Mehr als ein Schulzentrum war Santa nicht zu entlocken.
al das vɪɾd fɔn miːɾ bəɡɾyst,All das wird von mir begrüßt.,All das wird von mir begrüßt.
maɪst vɛɾdən ziː naxts ɡəzɪçtət,Meist werden sie nachts gesichtet.,Meist werden sie nachz gesichert.
tɛriːtoːriːɑːl ɡəhœɾtə fraɪlɪŋən tsʊm hɛɾtsɔktuːm ɑrənbɛɾk,Territorial gehörte Freilingen zum Herzogtum Arenberg.,Territorial gehörte Freilingen zum Herzogtum Arenberg.
mɪt dɛɾ laɪtʊŋ dɛɾ fɛɾhøːrə v??də avnɜ vɛɾnɜ lɛs bətɾaʊt,Mit der Leitung der Verhöre wurde Avner Werner Less betraut.,Mit der Leistung der Verhöhre wurde Axel Wähler Les betreut.
niːkoːlaʊs bəɡan mɪt deːm aʊsbaʊ dɛɾ ɪntsvɪʃən baʊfɛlɪɡən b??k tsuː aɪnɜ fɛstʊŋ,Nikolaus begann mit dem Ausbau der inzwischen baufälligen Burg zu einer Festung.,Nikolaus begann mit dem Ausbau der inzwischen baufälligen Burg zu einer Festung.
ʃvɪmən bədɔøtətə fyːɾ pfuːəl das ɡlaɪçə viː fyːɾ lʊdvɪç jɑːn das t??nən,Schwimmen bedeutete für Pfuel das gleiche wie für Ludwig Jahn das Turnen.,"Schwimmen bedeutete für Pfeffer, das gleiche wie für Ludwig Jan das Turnier."
ʊntɛɾm vaɪhnaxtsbaʊm ɪst kaʊm nɔx plats veːɡən dɛɾ masə an ɡəʃɛŋkən,Unterm Weihnachtsbaum ist kaum noch Platz wegen der Masse an Geschenken.,Unterm Weihnachtsbaum ist kaum noch Platz wegen der Masse an geschenken.
loːɡən diː ʊntɜaɪnandɜ ɡəʃɪçtlɪç ʃtaɾk mɪtaɪnandɜ fɛɾbʊndən zɪnt yːbɜraɪçən zɪç tsuː diːzəm anlas ɡəʃɛŋkə,"Logen, die untereinander geschichtlich stark miteinander verbunden sind, überreichen sich zu diesem Anlass Geschenke.",Logen die untereinander geschichtlich stark miteinander verbunden sind überreichen sich zu diesem Anlass geschehnte.
das ɪst nɑːtyːɾlɪç rɪçtɪç,Das ist natürlich richtig.,Das ist natürlich richtig.
(en)dʒiːn(de)luːɪs buːɾlaŋəs hat dɑːtsuː aɪnə zeːɾ ɡuːtə foːɾaɾbaɪt ɡəlaɪstət,Jean-Louis Bourlanges hat dazu eine sehr gute Vorarbeit geleistet.,Jean-Louis Burlanes hat dazu eine sehr gute Vorarbeit geleistet.
jeːdɔx hat diːzə ɪnstseːniːrʊŋ mɪt deːn foːɾɡɛŋɜn veːdɜ ɪnhaltlɪç nɔx fɔɾmɛl ɡəmaɪnzɑːmkaɪtən,Jedoch hat diese Inszenierung mit den Vorgängern weder inhaltlich noch formell Gemeinsamkeiten.,Jedoch hat diese Inszenierung mit den Vorgängern wieder inhaltlich noch formell Gemeinsamkeiten.
dɛɾ hoːxɑdəl zɑː zɪç ɡənøːtɪçt baɪ aɪnɪɡən raɪçən baslɜ byɾɡɜn hyːpɔteːkən aʊftsuːneːmən,"Der Hochadel sah sich genötigt, bei einigen reichen Basler Bürgern Hypotheken aufzunehmen.","Der Hochadel sah sich genau bei einigen reichen Basler, Bürgern Hüpotten aufzunehmen."
miːliːtɛɾdɪktatuːrən tɾɑːtən ɪn deːn lɛtstən jɑːɾtseːntən fɔɾ aləm ɪn deːn ɛntvɪklʊŋslɛndɜn aʊf,Militärdiktaturen traten in den letzten Jahrzehnten vor allem in den Entwicklungsländern auf.,Militärdirektoren traten in den letzten Jahrzehnten vor allem in den Entwicklungsländern auf.
dɑːmɪt ɪst ʊns aɪnə vɪçtɪɡə oːrɪɛntiːrʊŋ ɡəɡeːbən,Damit ist uns eine wichtige Orientierung gegeben.,Damit ist uns eine wichtige Orientierung gegeben.
ʃneːbərɪçt fyːɾ diː tsuːkspɪtsə antsaɪɡən,Schneebericht für die Zugspitze anzeigen.,Schweberecht für die Zuspitze angehen.
ɛɾ ʃpɾɑːx ʊntɜ andərəm aʊx ɪn fɪndət neːmoː,"Er sprach unter anderem auch in ""Findet Nemo"".",Er sprach unter anderem auch in findet Neo.
nɑːx deːm tsvaɪtən vɛltkɾiːk nɑːm diː bəfœlkeːrʊŋstsɑːl d??ç deːn tsuːtsuːk fiːlɜ haɪmatfɜtɾiːbənɜ ʃtaɾk tsuː,Nach dem Zweiten Weltkrieg nahm die Bevölkerungszahl durch den Zuzug vieler Heimatvertriebener stark zu.,Nach dem Zweiten Weltkrieg nahm die Bevölkerungszahl durch den Zuzug vieler Heimatvertriebener stark zu.
ɛs feːlt dɛɾ nøːtɪɡə ɛntvɪklʊŋspiːlraʊm ʊnt kvɑliːfiːtsiːɾtəs pɛɾzoːnɑːl ɪst ɔft aʊx nɪçt foːɾhandən,"Es fehlt der nötige Entwicklungsspielraum, und qualifiziertes Personal ist oft auch nicht vorhanden.",Es fehlt der nötige Entwicklungspalraum und qualifiziertes Personal ist oft auch nicht vorhanden.
diːs ɡəlɪŋt jeːdɔx vɛn diː patsjɛntən ʃpɔntɑːn laxən oːdɜ lɛçəln,"Dies gelingt jedoch, wenn die Patienten spontan lachen oder lächeln.","Dies gelingt jedoch, wenn die Patienten spontan lagen oder gelegen."
das maxt iːn ɛɾheːplɪç ʃviːrɪɡɜ als aɪnən nɔɾmɑːlən ʃpɾʊŋ,Das macht ihn erheblich schwieriger als einen „normalen“ Sprung.,Das macht ihn erheblich schwieriger als einen normalen Sprung.
ɡɾʊndzɛtslɪç mœçtə ɪç aʊf diː bədɔøtʊŋ fɔn ɪnfɔɾmatsjoːn ʊnt tɾansparɛnts hɪnvaɪzən,Grundsätzlich möchte ich auf die Bedeutung von Information und Transparenz hinweisen.,Grundsätzlich möchte ich auf die Bedeutung von Information und Transparenz hinweisen.
diːzə vɛɾdən ʃpeːtsjɛl fyːɾ dɑːtənflʊstsuːɡɾɪfə fɛɾvɛndət,Diese werden speziell für Datenfluss-Zugriffe verwendet.,Diese werden speziell für Datenflusszugriffe verwendet.
dɛɾ dɑːraʊs reːzʊltiːrəndə dɪfeːrɛntsdɾʊk vɪɾd tɾaɪbəndɜ dɾʊk oːdɜ aʊx vɪɾkzɑːmɜ dɾʊk ɡənant,Der daraus resultierende Differenzdruck wird „treibender Druck“ oder auch „wirksamer Druck“ genannt.,Der darauf repräsentierende Differenzdruck wird treibender Druck oder auch wirksaler Druck genannt.
das ʃvɪmən vɪɾt ʊnmøːklɪç ɔpvoːl diːs fryːɜ aɪnmɑːl ɡəlɛɾnt v??də,"Das Schwimmen wird unmöglich, obwohl dies früher einmal gelernt wurde.","Das Schwimmen wird unmöglich, obwohl dies früher einmal gelehrt wurde."
viːɾ mysən iːɾ andɛŋkən leːbɛndɪç haltən,Wir müssen ihr Andenken lebendig halten.,Wir müssen ihr Andenken lediglich halten.
aɪn vaɪtərɜ pʊŋkt deːn viːɾ zɪçɜlɪç bəaxtən zɔlən ɪst diː frɑːɡə dɛɾ ʃtabiːlən vɛːrʊŋən,"Ein weiterer Punkt, den wir sicherlich beachten sollen, ist die Frage der stabilen Währungen.","Ein weiterer Punkt, den wir sicherlich beachten sollen, ist die Frage der stabilen Währungen."
ɛs bəʃtant dɛɾ fɛɾdaxt aʊf mɑniːpuːlatsjoːn mɪt frɛmtuːriːn,Es bestand der Verdacht auf Manipulation mit Fremd-Urin.,Es bestand der Verdacht auf Mobilität mit Flexin.
rɪçaɾt maɪɜ ɛɾhiːlt diː eːrəndɔktɔɾvyɾdən dɛɾ uːniːvɛɾziːtɛːt neːapəl ʊnt dɛɾ uːniːvɛɾziːtɛːt buːkɑːrəst,Richard Meier erhielt die Ehrendoktorwürden der Universität Neapel und der Universität Bukarest.,Richard Meyer erhielt die Ehrendoktorwürden der Universität Neapel und der Universität Bukarest.
das kɑbəl ɪm roːtən meːɾ v??də tsvɪʃən zuːeːts ʊnt ɑːdən fɛɾleːkt,Das Kabel im Roten Meer wurde zwischen Suez und Aden verlegt.,Das Kabel im Roten Meer wurde zwischen Suez und Aden verlegt.
vaɪtərə zɪnt kʊltuːrɛl nɑːeːtsuː asiːmiːliːɾt viː diː mantʃuː,"Weitere sind kulturell nahezu assimiliert, wie die Mandschu.",Weitere sind Kulturell nahezu engagiert wie die Mannschaft.
aʊsɜdeːm bəʃteːən fɛɾbɪndʊŋən ɪn diː dɛːnɪʃə haʊptstat nɑːx koːpənhɑːɡən,Außerdem bestehen Verbindungen in die dänische Hauptstadt nach Kopenhagen.,Außerdem bestehen Verbindungen in die dänische Hauptstadt nach Koppenhagen.
diːzə tsuːzamənaɾbaɪt ɪst noːtvɛndɪç ziː ɪst ɔøsɜst vɪçtɪç,"Diese Zusammenarbeit ist notwendig, sie ist äußerst wichtig.","Diese Zusammenarbeit ist notwendig, sie ist äußerst wichtig."
lɛtlant ʊnt diː sloːvakaɪ hɑːbə ɪç bəraɪts ɛɾvɛːnt,Lettland und die Slowakei habe ich bereits erwähnt.,Letland und die Slowakei habe ich bereits erwähnt.
ʊntɜ dɛɾ frɔntaʊbə bəfɪndət zɪç aɪn klaɪnɜ kɔfɜraʊm,Unter der Fronthaube befindet sich ein kleiner Kofferraum.,Unter der Frontseite befindet sich ein kleiner Kopfraum.
taɪlvaɪzə hatə maɪɜ ɪnfɔɾmatsjoːnən fɔn bəuːɾlaʊptən frɔntzɔldɑːtən yːbɜ diː ɪndʊstɾiːanlɑːɡən ɛɾhaltən,Teilweise hatte Maier Informationen von beurlaubten Frontsoldaten über die Industrieanlagen erhalten.,Teilweise hatte meiner Interventionen von beurteilungen Frontposten über die Industrieanlagen erhalten.
aʊx dɑːryːbɜ zɔltə man naxdɛŋkən,Auch darüber sollte man nachdenken.,Auch darüber sollte man nachdenken.
ɔfiːtsjɛlə fʊŋktsjoːnən yːptə ɪlk vɛːrənt dɛɾ tsaɪt dɛɾ natsjoːnɑːlzoːtsiːalɪstɪʃən hɛɾʃaft dɑːd??ç kaɪnə aʊs,Offizielle Funktionen übte Ilg während der Zeit der nationalsozialistischen Herrschaft dadurch keine aus.,Offizielle Funktionen übte Ilk während der Zeit der Nationalsozialistischen Herrschaft dadurch keine aus.
feːatɜs v??də pɔstuːm ɪn diː rɔkabɪliː hal (en)ɒv(de) fɑːmə aʊfɡənɔmən,"Feathers wurde postum in die ""Rockabilly Hall of Fame"" aufgenommen.",Fetters wurde Postum in die Rockby Hall of Fame aufgenommen.
diː zaltskɔntsɛntɾatsjoːn ɪnɜhalp dɛɾ tsɛlən ɪst alzoː høːɜ als ɪn deːm ziː ʊmɡeːbəndən zysvasɜ,Die Salzkonzentration innerhalb der Zellen ist also höher als in dem sie umgebenden Süßwasser.,Die Salzkonzentration innerhalb der Zellen ist also höher als in dem sie umgebenden Südwasser.
ʊnzrə hɔtliːnə kɔstət tsvœlf sɛnt pɾoː miːnuːtə aʊs deːm dɔøtʃən fɛstnɛts,Unsere Hotline kostet zwölf Cent pro Minute aus dem deutschen Festnetz.,Unsere Holitte kommt zwölf stet pro Minute aus dem deutschen Festnetz.
katoːlɪʃə pɾaxt ɪn dɛɾ reːfɔɾmatsjoːnstsaɪt,"Katholische Pracht in der Reformationszeit"".",Katholische Putt in der Revolutionszeit.
fɔn dɛɾ vyːtəndən mɛŋə ʊnt dɛɾ natsjoːnɑːlɡaɾdə v??dən ziː nɑːx tsaɪtɡənœsɪʃən bərɪçtən reːɡəlrɛçt tsɛɾflaɪʃt,Von der wütenden Menge und der Nationalgarde wurden sie nach zeitgenössischen Berichten regelrecht zerfleischt.,Von der Württembergen Menge und der Nationalgarde wurden sie nach zeitgenössischen Berichten regelrecht zerfeilt.
diː ɡeːɡənvɛɾtɪɡə kɪɾçə ʃtamt aʊs deːm bɑrɔkən viːdɜaʊfbaʊ,Die gegenwärtige Kirche stammt aus dem barocken Wiederaufbau.,Die gegenwärtige Kirche stammt aus dem Baroken Wiederaufbau.
d??ç fœɾdərʊŋ fɔn fɔɾʃʊŋ ʊnt ɛntvɪklʊŋ kœnə mɪt ɡətsiːltɜ vɪɾtʃaftspoːliːtiːk das vɪɾtʃaftsvakstuːm bəaɪnflʊst vɛɾdən,Durch Förderung von Forschung und Entwicklung könne mit gezielter Wirtschaftspolitik das Wirtschaftswachstum beeinflusst werden.,Durch Veränderung von Forschung und Entwicklung können mit gezielter Wirtschaftspolitik das Wirtschaftswachstum beeinflusst werden.
aɪnɪɡə tsaɪt ʃpɛːtɜ ɛɾɡɑːp zɪç diː ziːtuːatsjoːn das ɔøroːpɑː nɑːrʊŋsmɪtəlyːbɜʃysə fɛɾvaltən mʊstə,"Einige Zeit später ergab sich die Situation, dass Europa Nahrungsmittelüberschüsse verwalten musste.","Einige Zeit später er gab sich die Situation, dass Europa Nahrungsmittelüberwücke verwalten musste."
das natsjoːnɑːlə pfatfɪndɜlɑːɡɜ bəfɪndət zɪç ɪn ʃaɾjɑː,Das nationale Pfadfinderlager befindet sich in Sharjah.,Das nationale Pfadfinderlager befindet sich in Charja.
ɪn dɛɾ lɛtstən vɔxə tɾɑːt das kyːoːtoːpɾoːtoːkɔl ɪn kɾaft,In der letzten Woche trat das Kyoto-Protokoll in Kraft.,In der letzten Woche trat das Klimaproblem in Kraft.
diː aɪnʃɪfɪɡə halənkɪɾçə hat aɪnə dɾaɪzaɪtɪɡə ɛmpoːrə,Die einschiffige Hallenkirche hat eine dreiseitige Empore.,Die einzige Hallenkirche hat eine dreiseitige Empore.
ɪm altɜ v??də ɛɾ tsʊm eːrənbyɾɡɜ dɛɾ vɛstfɛːlɪʃən vɪlhɛlmsuːniːvɛɾziːtɛːt ɪn myːnstɜ ɛɾnant,Im Alter wurde er zum Ehrenbürger der Westfälischen Wilhelms-Universität in Münster ernannt.,Im Alter wurde er zum Ehrenbürger der westfälischen Wilhelms Universität in München ernannt.
diː høːə dɛɾ fiːnantsiːrʊŋ v??də ɡəmɛːs dɛɾ koːfiːnantsiːrʊŋ anɡəpast,Die Höhe der Finanzierung wurde gemäß der Kofinanzierung angepasst.,Die Höhe der Finanzierung wurde maßgeblich der Kofinanzierung angepasst.
valkɜs ɡəhœɾt tsuːɾ ɡɾʊpə friːtoːlɛɪ diː viːdɜʊm tsuː pɛpsiːkoː ɡəhœɾt,"Walkers gehört zur Gruppe Frito-Lay, die wiederum zu Pepsico gehört.","Walters gehört zur Gruppe Friedoli, die wiederum zu Pepco gehört."
ɪç dɛŋkə vaɪmɑːɾ ɪst jeːdɜman bəkant,"Ich denke, Weimar ist jedermann bekannt.",Ich denke weiter ist jedermann bekannt.
dɛɾ œldɾʊk œfnət deːn kɔntakt,Der Öldruck öffnet den Kontakt.,Der Öldruck öffnet den Kontakt.
diː høːlən zɪnt mɪt vasɜ ɡəfylt dɛsən zaliːniːtɛːt zaɪzoːnɑːl ʃvaŋkt,"Die Höhlen sind mit Wasser gefüllt, dessen Salinität saisonal schwankt.","Die Höhlen sind mit Wasser gefüllt, dessen Solarsystem schwach."
baɪ al deːm bɾaʊxən viːɾ flɛksiːbiːliːtɛːt,Bei all dem brauchen wir Flexibilität.,Bei all dem brauchen wir Flexibilität.
zaɪnə ɛltərə ʃvɛstɜ zɑrɑː dampf ɪst eːbənfals ʃaʊʃpiːlərɪn,Seine ältere Schwester Sarah Dampf ist ebenfalls Schauspielerin.,Seine ältere Schwester Sarah Damf ist ebenfalls Schauspielerin.
das ɪst tsvɑːɾ ɪndiːrɛktɜ ɑːbɜ dɛnɔx møːklɪç,"Das ist zwar indirekter, aber dennoch möglich.",Das ist zwar indirekter aber dennoch möglich.
eːɾst nɑːx diːzɜ fɛɾœfəntlɪçʊŋ bəɡan diː bant aʊx liːvə aʊftsuːtɾeːtən,Erst nach dieser Veröffentlichung begann die Band auch live aufzutreten.,Erst nach dieser Veröffentlichung begann die Band auch liebe aufzutreten.
diːs kan zoːvoːl fyːzɪʃ als aʊx pzyçɪʃ fɛɾheːrəndə aʊsvɪɾkʊŋən hɑːbən,Dies kann sowohl physisch als auch psychisch verheerende Auswirkungen haben.,Dies kann sowohl physisch als auch psychisch verheiratende Auswirkungen haben.
bɑtaɪloːn bətsoːk aɪnə fɛɾtaɪdɪɡʊŋsʃtəlʊŋ nɑːə oːstɜbeːk,Bataillon bezog eine Verteidigungsstellung nahe Oosterbeek.,Bataillon bezog eine Verteidigungsstellung nahe Osterbek.
diː neːbənbɑːn fɛɾbant diː nœɾtlɪçə bɛɾɡstɾɑːsə mɪt dɛɾ vɪçtɪɡən maɪnnɛkɑːraɪzənbɑːn am bɑːnhoːf bɪkənbax,Die Nebenbahn verband die nördliche Bergstraße mit der wichtigen Main-Neckar-Eisenbahn am Bahnhof Bickenbach.,Die Nebenbahn verbindt die nördliche Bergstraße mit der wichtigen Maschinenbahn am Bahnhof Bielefeld.
maɪfaɪɜn ʊnt deːmɔnstɾatsjoːnən dɛɾ aɾbaɪtɜbeːveːɡʊŋ vɑːɾ,Mai-Feiern und Demonstrationen der Arbeiterbewegung war.,Meistfeiern und Demonstrationen der Arbeitsbewegung war.
aʊsɜdeːm fʊŋɡiːɾtə ɛɾ als rɪçtɜ am landəsaɾbaɪtsɡeːrɪçt,Außerdem fungierte er als Richter am Landesarbeitsgericht.,Außerdem fungierte er als Richter am Landesarbeitsgericht.
iːrə zeːrɪə vas vɛːrə vɛn ɡɾɪf fɛɾʃiːdənə teːmən mɪt dɛɾ kɔntɾɑːfaktɪʃən meːtoːdə aʊf,"Ihre Serie ""Was wäre wenn"" griff verschiedene Themen mit der kontra-faktischen Methode auf.","Ihre Serie was wäre, wenn griff verschiedene Themen mit der kontroverschen Methode auf."
