phonemes,ground_truth,prediction
juʃ pɔ raz druɡʲi mɲʲɛ pɔmiɲʲɛntɔ xɔtɕaʒ vʲɛlɔkrɔtɲʲɛ prɔɕiwɛm ɔ mɔʒlivɔʑdʑ zabraɲʲa ɡwɔsu,"Już po raz drugi mnie pominięto, chociaż wielokrotnie prosiłem o możliwość zabrania głosu","Już po raz drugi mnie pominięto, chociaż wielokrotnie prosiłem o możliwość zabrania głosu"
dɔdam ʒɛ dɨrɛktɨva pɔzɔstavja paɲstfɔm tʃwɔŋkɔfskim znatʃnɔ̃ sfɔbɔdɛ vɨbɔru,"Dodam, że dyrektywa pozostawia państwom członkowskim znaczną swobodę wyboru","Domam, że dyrektywa pozostawia państwom członkowskim znaczną swobodę wyboru"
dlatɛɡɔ tɛʃ tʃɛkam aʃ tɛ pɔstɛmpɔvaɲʲa zɔstanɔ̃ zakɔɲtʃɔnɛ zaɲim ɔɡwɔʃɛ nazvɨ,"Dlatego też czekam aż te postępowania zostaną zakończone, zanim ogłoszę nazwy","Dlatego też czekam, aż te postępowania zostaną zakończone, zanim ogłosze nazwy"
zapɛvnɛ zna pan naʃɔ̃ pʃɛʃwɔɕtɕ,Zapewne zna pan naszą przeszłość,Zapewne zna pan naszą przeszłość.
dlatɛɡɔ tɛʃ ɲʲɛma pɔtʃɛbɨ abɨ bɛsskutɛtʃɲʲɛ tʃɛkali na mɔʒlivɔʑdʑ zabraɲʲa ɡwɔsu,"Dlatego też nie ma potrzeby, aby bezskutecznie czekali na możliwość zabrania głosu","Dlatego też nie ma potrzeby, aby bezskutecznie czekali na możliwość zabrania głosu"
kɔnfɛdɛratsja ma dɔbrɛ zamjarɨ i jɛzd ɡɔtɔva pʃɨstɔmpidʑ dɔ nɛɡɔtsjatsji,Konfederacja ma dobre zamiary i jest gotowa przystąpić do negocjacji,Konsecencja ma dobre zamiary i jest gotowa przystąpić do negocjacji
pɔmɔtsɨ udʑɛla ɕɛ w raʑɛ ɕmʲɛrtɕi pɔvaʒnɛɡɔ vɨpatku pɔvaʒnɨx ɔbraʒɛɲ tɕawa zatʃɨmaɲʲa,"Pomocy udziela się w razie śmierci, poważnego wypadku, poważnych obrażeń ciała, zatrzymania",Pomocy udziela się w razie śmierci poważnego wypadku poważnych obrażeń ciała zatrzymania
bjɛk spravɨ vɲʲɔsku ɔ skɔʒɨstaɲʲɛ z immuɲitɛtu parlamɛntarnɛɡɔ,Bieg sprawy wniosku o skorzystanie z immunitetu parlamentarnego,Biek sprawy wniosku o skorzystanie z immunitetu parlamentarnego
mɔʒlivɛ jɛst fuŋktsjɔnɔvaɲʲɛ ɛwrɔpɨ vɨwɔntʃɲʲɛ na zruvnɔvaʒɔnɨɣ ʑrudwax ɛnɛrɡji,Możliwe jest funkcjonowanie Europy wyłącznie na zrównoważonych źródłach energii,Możliwe jest funkcjonowanie Europy wyłącznie na zrównoważonych środkach energii
ratɨfikatsja traktatu lizbɔɲskʲɛɡɔ jɛst sama f sɔbjɛ takim ʑɛlɔnɨm kʲɛwkʲɛm,"Ratyfikacja traktatu lizbońskiego jest sama w sobie takim ""zielonym kiełkiem",Ratyka traktatu lizbońskiego jest sama w sobie takim zielonym kiełkiem
musimɨ w dalʃɨm tɕɔŋɡu dʑawadʑ dla dɔbra naʃɨx spɔwɛtʃɛɲstf i pʃɨbliʒɨtɕ im tɛn traktat,Musimy w dalszym ciągu działać dla dobra naszych społeczeństw i przybliżyć im ten Traktat,Musimy w dalszym ciągu działać dla dobra naszych społeczeństw i przybliżyć im ten traktat
mɨɕlɛ ʒɛ jɛst tɔ tɛmat kturɨ pʃɨkuva uvaɡɛ vʲɛlu ludʑi,"Myślę, że jest to temat, który przykuwa uwagę wielu ludzi","Myślę, że jest to temat, który przykazuje uwagę wielu ludzi"
vzmɔtsɲʲɛɲʲɛ ɕɛtɕi vɛvnɛntʃnɨx jɛst ruvɲʲɛ vaʒnɛ jak utfɔʒɛɲʲɛ mʲɛndʑɨɕɛtɕɔvɨx pɔwɔntʃɛɲ tfɔʒɔntsɨx jɛdnɔlitɛ ɕɛtɕi,"Wzmocnienie sieci wewnętrznych jest równie ważne, jak utworzenie międzysieciowych połączeń, tworzących jednolite sieci",Wzmocnienie sieci wewnętrznych jest równie ważne jak utworzenie międzysieciowych połączeń twojących jednolite sieci
dlatʃɛɡɔ pɔvinɲiɕmɨ zmɲʲɛjʃatɕ mɔʒlivɔɕtɕi naʃɨx jɛdnɔstɛɡ dɔ pɔʑɔmu naʃɛj kfɔtɨ,Dlaczego powinniśmy zmniejszać możliwości naszych jednostek do poziomu naszej kwoty?,Dlaczego powinniśmy zmieniać możliwości naszych jednostego do poziomu naszej kwoty?
w ɡrɛtsji rɔbɔtɲitsɨ ɔrɡaɲizujɔ̃ duʒɛ zɡrɔmadʑɛɲʲa bɛzrɔbɔtnɨx s sɛktɔra prɨvatnɛɡɔː i publitʃnɛɡɔ,W Grecji robotnicy organizują duże zgromadzenia bezrobotnych z sektora prywatnego i publicznego,W Grecji robotnicy organizują duże zgromadzenia bezrobotnych z sektora prywatnego i publicznego
jɛst tɔ ɲʲɛmal na pɛvnɔ pʲɛrʃɨ kɔɕtɕuw xʃɛɕtɕijaɲski w ɛwrɔpʲɛ,Jest to niemal na pewno pierwszy kościół chrześcijański w Europie,Jest to niemal na pewno pierwszy kościół chrześcijański w Europie
pɔ pʲɛrʃɛ dʑɛŋkujɛ panu za dʑiɕɛjʃɔ̃ dɨskusjɛ,"Po pierwsze, dziękuję panu za dzisiejszą dyskusję","Po pierwsze, dziękuję panu za dzisiejszą dyskusję"
vraz zɛ vzmɔtsɲʲɛɲʲɛm ɛwrɔjustu zvʲɛŋkʃɔ̃ ɕɛ ruvɲʲɛʃ prɛrɔɡatɨvɨ pʃɛtstavitɕɛli krajɔvɨx,Wraz ze wzmocnieniem Eurojustu zwiększą się również prerogatywy przedstawicieli krajowych,Wraz ze wzmocnieniem Europeju zwiększą się również priorytety przedstawicieli krajowych
jaɡʒɛ dumɲi bɨlibɨ vɛŋɡʒɨ ɡdɨbɨ vɛŋɡʲɛrska prɛzɨdɛntsja prjɔrɨtɛtɔvɔ pɔtraktɔvawa rɔzvʲɔ̃zaɲʲɛ prɔblɛmu spɛkulatsji,"Jakże dumni byliby Węgrzy, gdyby węgierska prezydencja priorytetowo potraktowała rozwiązanie problemu spekulacji","Jakże dumni byliby większy, gdyby węgierska prezydencja priorytetowo potraktowała rozwiązanie problemu spekulacji"
pɔzvɔlɛ sɔbjɛ pɔvʲɛdʑɛtɕ najpʲɛrf kilka swuf na tɛmad vaɡʲi i znatʃɛɲʲa djalɔɡu spɔwɛtʃnɛɡɔ,Pozwolę sobie powiedzieć najpierw kilka słów na temat wagi i znaczenia dialogu społecznego,Pozwolę sobie powiedzieć najpierw kilka słów na temat wagi i znaczenia dialogu społecznego
tsɔ mɔʒɛ f tɛj spravʲɛ zrɔbʲitɕ uɲʲa ɛwrɔpɛjska,Co może w tej sprawie zrobić Unia Europejska?,Co może w tej sprawie zrobić Unia Europejska?
mɔɡlibɨɕmɨ prɔmɔvatɕ tʃɨstɔ̃ pʃɨʃwɔʑdʑ dla nas fʃɨstkix,Moglibyśmy promować czystą przyszłość dla nas wszystkich,Moglibyśmy promować czystą przyszłość dla nas wszystkich
druɡʲi rɔɡ z ʒɛndu kɔmisja zalɛtsa rɔspɔtʃɛɲtɕɛ rɔzmuf ɔ tʃwɔŋkɔstfʲɛ z matsɛdɔɲʲɔ̃,Drugi rok z rzędu Komisja zaleca rozpoczęcie rozmów o członkostwie z Macedonią,Drugi rok z rządu Komisja zaleca rozpoczęcie rozmów o członkowie z Macedonią
pɔmɨɕlmɨ na pʃɨkwat ɔː iɣ znatʃɛɲʲu pʃɨ intɛrprɛtatsji aktuf pravnɨx,Pomyślmy na przykład o ich znaczeniu przy interpretacji aktów prawnych,Pomyślmy na przykład o ich znaczeniu przy integracji aktów prawnych
ɔkrɛɕlɛɲʲɛ zaʒɛɡnanɨ suɡɛrɔvawɔbɨ uspɔkɔjɛɲʲɛ,"Określenie ""zażegnany"" sugerowałoby uspokojenie",Określenie zasięgny sugerowałoby uspokoenie
xtɕawabɨm vɨrazitɕ sfɔjɛ pɔdʑɛŋkɔvaɲʲa dla kɔmisji,Chciałabym wyrazić swoje podziękowania dla Komisji,Chciałabym wyrazić swoje podziękowania dla Komisji
naʃɛ ɔtsɛanɨ ʑɛjɔ̃ pustkɔ̃,Nasze oceany zieją pustką,Nasze oceny ziemią pustką.
pɔ tʃɛtɕɛ naʃɛ najbardʑɛj buʒlivɛ spɔrɨ dɔtɨtʃɨwɨ zawɔntʃɲikuf,"Po trzecie, nasze najbardziej burzliwe spory dotyczyły załączników","Po trzecie, nasze najbardziej burzliwe sposoby dotyczyły załączników"
duʒɨx ɛwrɔpɛjskix pʲɛɲʲɛndʑɨ,Dużych europejskich pieniędzy,Dużych europejskich pieniędzy
ɡɛɔɡrafitʃnɛ uzasadɲʲaɲʲɛ kʲɛruŋkuf fspuwtʃɛsnɛj pɔlitɨki zaɡraɲitʃnɛj jɛst ɲʲɛvɨstartʃajɔntsɛ,Geograficzne uzasadnianie kierunków współczesnej polityki zagranicznej jest niewystarczające,Globalne uzasadnienie kierunków współczesnej polityki zagranicznej jest niewystarczające
uvaʒam za istɔtnɛ ʒɛ pɔː intɛnsɨvnɨɣ dɛbatax rada ɛwrɔpɛjska zɡɔdʑiwa ɕɛ na rɔlɛ kɔmisji,"Uważam za istotne, że po intensywnych debatach Rada Europejska zgodziła się na rolę Komisji","Uważam za istotne, że po intensywnych debatach Rada Europejska zgodziła się na rolę Komisji"
wadɲʲɛ bɨ ɕfʲad vɨɡlɔndaw pɔd ʒɔndami matɕuɕa,Ładnie by świat wyglądał pod rządami Maciusia.,"Ładne, by świat wyglądał pod rządami Macusia."
pɔnattɔː uvaʒam ʒɛ pɔzɔstavʲɛɲʲɛ vɨtɨtʃnɨɣ bɛz zmʲan bɨwɔ vwaɕtɕivɛ pɔɲʲɛvaʃ ɔɡulɲʲɛ bɨwɨ udanɛ,"Ponadto uważam, że pozostawienie wytycznych bez zmian było właściwe, ponieważ ogólnie były udane","Ponadto uważam, że pozostawienie wytycznych bez zmian było właściwe, ponieważ ogólnie były udane"
rɔzumjɛm ʒɛ vɲʲɔskujɛ ɕɛ ɔ pɛvnɛ pɔprafki pɔtɔ abɨ ftɕɔ̃ʒ zvʲɛŋkʃatɕ stɔpʲɛɲ pɔmɔtsɲitʃɔɕtɕi,"Rozumiem, że wnioskuje się o pewne poprawki po to, aby wciąż zwiększać stopień pomocniczości","Rozumiem, że wnioskuję się o pewne poprawki, po to aby wciąż zwiększać stopień pomocniczości"
jɛstɛm pʃɛkɔnanɨ ʒɛ kɔmisja bɛɲdʑɛ nadal pʃɨjmɔvatɕ fkwat parlamɛntu majɔnts f pɛrspɛktɨvʲɛ dalʃɛ udɔskɔnalɛɲʲa,"Jestem przekonany, że Komisja będzie nadal przyjmować wkład Parlamentu, mając w perspektywie dalsze udoskonalenia","Jestem przekonany, że Komisja będzie nadal przyjmować wkład Parlamentu, mając w perspektywie dalsze udoskonalenia"
tɔ pravda ʒɛ dɨrɛktɨva zavʲɛra miɲimalnɛ varuŋki kturɛ muʃɔ̃ bɨtɕ spɛwɲʲɔnɛ,"To prawda, że dyrektywa zawiera minimalne warunki, które muszą być spełnione","To prawda, że dyrektywa zawiera minimalne warunki, które muszą być spełnione"
puʑɲʲɛj kaʒdɨ mɔʒɛ ɔbviɲʲadʑ druɡɔ̃ ɔsɔbɛ,Później każdy może obwiniać drugą osobę,Puźniej każdy może objąć drugą osobę
sɔ̃ tɔ zbɨt fundamɛntalnɛ vartɔɕtɕi abɨ pʃɨɲih maɲipulɔvatɕ,"Są to zbyt fundamentalne wartości, aby przy nich manipulować","Są to zbyt fundamentalne wartości, aby przy nich manipulować"
kɔʃtɨ dɔdatkɔvɛj ɔxrɔnɨ w ɔstatɛtʃnɨm rɔzraxuŋku pɔvinnɨ pɔkrɨvatɕ paɲstfa tʃwɔŋkɔfskʲɛ,Koszty dodatkowej ochrony w ostatecznym rozrachunku powinny pokrywać państwa członkowskie,Koszty dodatkowej ochrony w ostatecznym rozrachunku powinny pokrywać państwa członkowskie
pʃɛmɔdʑ vɔbɛts kɔbjɛt pʃɨbjɛra ruʒnɛ fɔrmɨ i ma mʲɛjstsɛ fʃɛɲdʑɛ,Przemoc wobec kobiet przybiera różne formy i ma miejsce wszędzie,Przemoc wobec kobiet przybiera różne formy i ma miejsce wcześnie
vrɛntʃ pʃɛtɕivɲʲɛ mɔʒɛ bɨdʑ ʑrudwɛm ɲʲɛpɔkɔju i kɔnfliktuf,"Wręcz przeciwnie, może być źródłem niepokoju i konfliktów",Wręcz przeciwnie może być źródłem niepokoju i konfliktów
pɔnattɔ f pʃɛtɕivʲɛɲstfʲɛ dɔ kɔmisaʒɨ jɛstɛɕmɨ rɔzlitʃaɲi lɔkalɲʲɛ,"Ponadto, w przeciwieństwie do komisarzy, jesteśmy rozliczani lokalnie",Ponadto w przeciwie do Komisarzy jesteśmy rozliczani lokalnie
muʃɛ ɔtpɔvʲɛdʑɛdʑ ʒɛ ɲʲɛ,"Muszę odpowiedzieć, że nie","Muszę odpowiedzieć, że nie"
ɔtfuʒmɨ ɔtʃɨ,Otwórzmy oczy,Otworzymy oczy.
f sɛktɔraɣ zaavansɔvanɨx tɛxnɔlɔɡji ɡdʑɛ pratsɛ sɔ̃ vɨʃʃɛ kɔbjɛtɨ sɔ̃ zdɛtsɨdɔvaɲʲɛ ɲʲɛdɔrɛprɛzɛntɔvanɛ,"W sektorach zaawansowanych technologii, gdzie prace są wyższe, kobiety są zdecydowanie niedoreprezentowane","W sektorach zaawanowanych technologii, gdzie pracę są wyższe kobiety są zdecydowanie niedofinansowane"
uzasadɲʲɔnɛ pɔdɛjʒɛɲʲɛ tɔ mɔʒɛ bɨdʑ za mawɔ,Uzasadnione podejrzenie to może być za mało,Uzasadnione podejrzenie to może być za mało
vɨmjɛɲiwɛm tɨlkɔ kilka pʃɛdmʲɔtɔvɨɣ dʑɛdʑin,Wymieniłem tylko kilka przedmiotowych dziedzin,Wymieniłem tylko kilka przedmiotowych dziedzin
jɛzd dɔɕtɕ jasnɛ jakʲɛ pɔdɔbjɛɲstfa istɲʲɛjɔ̃ mʲɛndʑɨ sɔtsjalizmɛm sɔvʲɛtskim a sɔtsjalizmɛm narɔdɔvɨm,"Jest dość jasne, jakie podobieństwa istnieją między socjalizmem sowieckim a socjalizmem narodowym","Jest dość jasne, jakie podjęcia istnieją między socjalnym sowieckim, a socjalizmem narodowym"
ɔtʃɨviɕtɕɛ sɛnsɔvnɛ jɛst pɔʃukivaɲʲɛ ɕrɔtkuf ɔxrɔnɨ pʃɛd dʑawaɲʲami izraɛla,Oczywiście sensowne jest poszukiwanie środków ochrony przed działaniami Izraela,Oczywiście senowne jest poszukiwanie środków ochrony przed działaniami Izraela
pʲɛrʃa dɔtɨtʃɨ finansuf publitʃnɨx a druɡa kɔŋkurɛntsɨjnɔɕtɕi,"Pierwsza dotyczy finansów publicznych, a druga konkurencyjności","Piersza dotyczy finansów publicznych, a druga konkurencyjności"
rɔk tɛn bɨw ruvɲʲɛʃ rɔkʲɛm vɛjɕtɕa w ʒɨtɕɛ traktatu z lizbɔnɨ,Rok ten był również rokiem wejścia w życie traktatu z Lizbony,Rok ten był również rokiem wyjścia w życie traktatu z Lizbony
dlatʃɛɡɔ jɛst tɔ nam pɔtʃɛbnɛ,Dlaczego jest to nam potrzebne?,Dlaczego jest to nam potrzebne?
alɛ tɛn suktsɛs ɲʲɛɕɛ za sɔbɔ̃ pɛvnɛ zɔbɔvʲɔ̃zaɲʲa,Ale ten sukces niesie za sobą pewne zobowiązania,Ale ten sukces nie się za sobą pewne zobowiązania
kɔmplɛtnɛɡɔ mʲɛndʑɨnarɔdɔvɛɡɔ pɔrɔzumjɛɲʲa klimatɨtʃnɛɡɔ,kompletnego międzynarodowego porozumienia klimatycznego,Kompletego międzynarodowego porozumienia klimatycznego
uvaʒam ʒɛ vlɛtʃɛ ɕɛ ɔn i ʒɛ pɔviɲʲɛn bɨdʑ vznɔvʲɔnɨ bɨɕmɨ dɔtʃɛkali ɕɛ pɔstɛmpu,"Uważam, że wlecze się on i że powinien być wznowiony, byśmy doczekali się postępu","Uważam, że wiele się on i że powinien być wznożony, byśmy doczekali się postępu"
lɛtʃ pɛvnɛ aspɛktɨ pɔzɔstajɔ̃ ɲʲɛ f pɛwɲi zɡɔdnɛ s traktatɛm lizbɔɲskim,Lecz pewne aspekty pozostają nie w pełni zgodne z traktatem lizbońskim,Lecz pewne aspekty pozostają nie w pełni zgodne z traktatem lizbońskim
mimɔ ʒɛ paɲstfɔ tɔ spɛwɲiwɔ krɨtɛrja pɔlitɨtʃnɛ pɔzɔstajɛ jɛʃtʃɛ vʲɛlɛ dɔ zrɔbjɛɲʲa,"Mimo, że państwo to spełniło kryteria polityczne, pozostaje jeszcze wiele do zrobienia","Mimo, że państwo to spełniło kryteria polityczne pozostaje jeszcze wiele do zrobienia"
tɔ jɛst pɔvɔdɛm naʃɛj dɛbatɨ,To jest powodem naszej debaty,To jest powodem naszej debaty
a zatɛm vbrɛf tɛmu tsɔ muviw pʲɛrvɔtnɨ pɔʒɔndɛk ɔbrat ɲʲɛ mamɨ dɛbatɨ,"A zatem, wbrew temu, co mówił pierwotny porządek obrad, nie mamy debaty","A zatem wbrew temu, co mówił pierwszy porządek obrad, nie mamy debaty"
kɔɲʲɛ zɛ stajɛn vɨvʲɛɕtɕ i vɔzɨ zapʃɛŋɡatɕ,Konie ze stajen wywieść i wozy zaprzęgać!,Konie ze staję wywięć i osoby zasięgać.
vɔlawbɨm mʲɛtɕ pɔpartɕɛ ɡwuvnɨx prɔɛwrɔpɛjskix rɔdʑin pɔlitɨtʃnɨx alɛ ɲʲɛktuʒɨ ɔdmavʲajɔ̃ mi ɡɔ,"Wolałbym mieć poparcie głównych proeuropejskich rodzin politycznych, ale niektórzy odmawiają mi go","Wolałbym mieć poparcie głównych europejskich rodzin politycznych, ale niektórzy odmawiają mi go"
ɔddajɛ ɕɛ ludʑɔm ɡwɔs abɨ pʃɛstavʲali sfɛ ɔɕfʲattʃɛɲʲa i zadavali pɨtaɲʲa,"Oddaje się ludziom głos, aby przestawiali swe oświadczenia i zadawali pytania","Oddaje się ludźom głos, aby przedstawili swe oświadczenia i zadali pytania"
vʲɛmɨ jɛdnaɡ ʒɛ ta kfɛstja jɛzd bɛzvzɡlɛndɲʲɛ najvaʒɲʲɛjʃa,"Wiemy jednak, że ta kwestia jest bezwzględnie najważniejsza","Wiemy jednak, że ta kwestia jest bezwzględnie najważniejsza"
pɔnattɔ parlamɛnd vɨraziw vɔlɛ bɨ uɲʲa ɛwrɔpɛjska bɨwa bardʑɛj samɔdʑɛlna w ɡrɔmadʑɛɲʲu vwasnɨɣ zasɔbuf,"Ponadto Parlament wyraził wolę, by Unia Europejska była bardziej samodzielna w gromadzeniu własnych zasobów","Ponadto Parlament wyraził wolę, by Unia Europejska była bardziej samodzielna w gromadzeniu własnych zasobów"
pamjɛntajmɨ tɛʒ ʒɛ fʃɨstkɔ zatʃɛwɔ ɕɛ ɔt ataku tɛrɔrɨstɨtʃnɛɡɔː i tɛras musimɨ tɛrɔr vɨkɔʒɛɲitɕ,"Pamiętajmy też, że wszystko zaczęło się od ataku terrorystycznego i teraz musimy terror wykorzenić","Pamiętajmy też, że wszystko zaczęło się od ataku terrorycznego i teraz musimy terror wykorzystić"
paɲʲɛ i panɔvʲɛ dɔ tɛj pɔrɨ muftsɨ pʃɛstʃɛɡali tʃasuv vɨstɔmpʲɛɲ,"Panie i panowie, do tej pory mówcy przestrzegali czasów wystąpień",Panie i panowie do tej pory mówcy przestrzegali czasów wystąpień
mɨɕlɛli ʒɛ jɛstɛm kɔmisaʒɛm ɲʲɛɣ buɡ brɔɲi,"Myśleli, że jestem komisarzem - niech Bóg broni!","Myśleli, że jestem komisarzem niech brak broni"
tsuʃ mɔɡɛ paɲstfu pɔvʲɛdʑɛdʑ ʒɛ ɔtpɔvʲɛdʑ bʒmi ɲʲɛ,"Cóż, mogę państwu powiedzieć, że odpowiedź brzmi nie","Cóż mogę państwu powiedzieć, że odpowiedzieć brzmi nie?"
uzɨskaw ɔn pɔpartɕɛ pʃɛvɔdɲitʃɔntsɛɡɔ kɔmisji i prɛzɨdɛntsji frantsuskʲɛj,Uzyskał on poparcie przewodniczącego Komisji i prezydencji francuskiej,Uzyskał on poparcie przewodniczącego Komisji i prezydencji francuskiej
maʒɨmɨ bɔvʲɛm ɔ bjawɔruɕi dɛmɔkratɨtʃnɛj vɔlnɛj dʑɛlɔntsɛj z nami ɛwrɔpɛjskʲɛ vartɔɕtɕi i standardɨ,"Marzymy bowiem o Białorusi demokratycznej, wolnej, dzielącej z nami europejskie wartości i standardy","Mamy bowiem o Białorusi demokratycznej wolnej, dzielącej z nami europejskiej wartości i standardy"
bɛspʲɛtʃɛɲstfɔ ma pʲɛrʃɛɲstfɔ vɔbɛts fʃɨstkix pɔzɔstawɨx rɔzvaʒaɲ,Bezpieczeństwo ma pierwszeństwo wobec wszystkich pozostałych rozważań,Bezpieczeństwo ma pierwszeństwo wobec wszystkich pozostałych rozważań
bɨwɔ tɔ pʲɛrʃɛ urɛɡulɔvaɲʲɛ pravnɛ na ɕfʲɛtɕɛ traktujɔntsɛ kɔŋkrɛtɲʲɛ ɔː ɔxrɔɲʲɛ pʲɛʃɨx,Było to pierwsze uregulowanie prawne na świecie traktujące konkretnie o ochronie pieszych,Było to pierwsze uregulowanie prawne na świecie traktujące konkretnie o ochronie piesych
ɛwrɔpɛjski funduʃ spɔwɛtʃnɨ ɔdɡrɨva najvaʒɲʲɛjʃɔ̃ rɔlɛ f pɔpravʲɛ stanu zatrudɲʲɛɲʲa i tfɔʒɛɲʲu mʲɛjsts pratsɨ,Europejski Fundusz Społeczny odgrywa najważniejszą rolę w poprawie stanu zatrudnienia i tworzeniu miejsc pracy,Europejski Fundusz Społeczny odgrywa najważniejszą rolę w poprawie stanu zatrudnienia i tworzenia miejsc pracy
sɔ̃ tɔ prɔblɛmɨ kturɛ tʃɛba uvzɡlɛndɲitɕ f kaʒdɛj ɛwrɔpɛjskʲɛj stratɛɡji na ʒɛtʃ mwɔdʑɛʒɨ,"Są to problemy, które trzeba uwzględnić w każdej europejskiej strategii na rzecz młodzieży","Są to problemy, które trzeba uwzględnić w każdej europejskiej strategii na rzecz młodzieży"
xtɕɛlibɨɕmɨ ɔdruʒɲʲatɕ tɨx uxɔtɕtsuf ktuʒɨ w mɨɕl prava mʲɛndʑɨnarɔdɔvɛɡɔ napravdɛ ubjɛɡajɔ̃ ɕɛ ɔː azɨl,"Chcielibyśmy odróżniać tych uchodźców, którzy w myśl prawa międzynarodowego naprawdę ubiegają się o azyl","Chcielibyśmy odróżniać tych uchodźców, którzy w myśl prawa międzynarodowego naprawdę ubiegają się o azyl"
tɔ vwaɕɲʲɛ spɔvɔdɔvawɔː ɔbɛtsnɔ̃ katastrɔfɛ f sudaɲʲɛ,To właśnie spowodowało obecną katastrofę w Sudanie,To właśnie spowodowało obecną katastrofę w Sudanie
vzɨvam taɡʒɛ frantsuskɔ̃ prɛzɨdɛntsjɛ abɨ zapɔbjɛts w imjɛɲʲu radɨ ɔɡraɲitʃɛɲʲɔm sfɔbɔdɨ vɨpɔvʲɛdʑi f çinax,"Wzywam także francuską prezydencję, aby zapobiec w imieniu Rady, ograniczeniom swobody wypowiedzi w Chinach","Wzywam także Franczką prezydencję, aby zapobiec w imieniu Rady ograniczeniem swobody wypowiedzi w Chinach"
kɔɲʲɛtʃnɛ jɛst ɔkazaɲʲɛ tɛj sɔlidarnɔɕtɕi pɔpʃɛs fspartɕɛ finansɔvɛ i tɛxɲitʃnɛ,Konieczne jest okazanie tej solidarności poprzez wsparcie finansowe i techniczne,Konieczne jest okazanie tej solidarności poprzez wsparcie finansowe i techniczne
tʃɛba zatɛm jasnɔ rɔsstʃɨɡnɔɲtɕ spravɛ ɔtpɔvʲɛdʑalnɔɕtɕi,Trzeba zatem jasno rozstrzygnąć sprawę odpowiedzialności,Trzeba zatem jasno rozstrzygnąć sprawę odpowiedzialności
xtɕawbɨm vrutɕidʑ dɔ spravɨ ɲʲu flamɛ,Chciałbym wrócić do sprawy New Flame,Chciałbym wrócić do sprawy niu flamę
pan muviw ɔ vɨbɔʒɛ pɛvnɨx kɔmisaʒɨ,Pan mówił o wyborze pewnych komisarzy,Pan mówił o wyborze pewnych komisarzy
prjɔrɨtɛt w ramax naʃɛj pɔlitɨki infɔrmatsɨjnɛj nalɛʒɨ nadatɕ mɛdjɔm ɛlɛktrɔɲitʃnɨm tɛlɛvizji i intɛrnɛtɔvi,Priorytet w ramach naszej polityki informacyjnej należy nadać mediom elektronicznym - telewizji i Internetowi,Projekt w ramach naszej polityki informacjowej należy nadać mediom elektronicznym telekomunikacji i Internetowi
parafrazujɔnts prɛzɨdɛnta klintɔna,Parafrazując prezydenta Clintona,parafrazując prezydenta klonona.
sɨtuatsja bɨwa vuftʃas spʃɨjajɔntsa,Sytuacja była wówczas sprzyjająca,Sytuacja była wówczas sprzyjająca
kɔnvɛrɡɛntsjɛ i ujɛdnɔlitsɛɲʲɛ budʒɛtuf paɲstf tʃwɔŋkɔfskiɣ z ɡwuvnɨmi tsɛlami budʒɛtu ɛwrɔpɛjskʲɛɡɔ,konwergencję i ujednolicenie budżetów państw członkowskich z głównymi celami budżetu europejskiego,Konsekwencje i ujednollenie budżetów państw członkowskich z głównymi celami budżetu europejskiego
zasada ta pɔdɔbɲʲɛ jak innɛ zasadɨ stɔi na straʒɨ nalɛʒɨtɛɡɔ zaʒɔndʑaɲʲa finansami uɲʲi,"Zasada ta, podobnie jak inne zasady, stoi na straży należytego zarządzania finansami Unii",Zasada ta podobnie jak inne zasady stoi na straży należytego zarządzania finansami Unii
musimɨ utʃɨɲitɕ fʃɨstkɔ tsɔ kɔɲʲɛtʃnɛ abɨ zaɡvarantɔvatɕ pʃɛzvɨtɕɛ̃ʒɛɲʲɛ ɔbɛtsnɛɡɔ krɨzɨsu finansɔvɛɡɔː i pʃɨvrutsɛɲʲɛ zaufaɲʲa,"Musimy uczynić wszystko, co konieczne, aby zagwarantować przezwyciężenie obecnego kryzysu finansowego i przywrócenie zaufania","Musimy uczynić wszystko, co konieczne, aby zagwarantować przywiązanie obecnego kryzysu finansowego i przywrócenie zaufania"
zaɡwɔsɔvawɛm za pʃɨjɛɲtɕɛm ɔmavʲanɛɡɔ spravɔzdaɲʲa zɛ vzɡlɛndu na pɔvaʒnɨ krɨzɨs kturɨ dɔtknɔw sɛktɔr mlɛtʃarski,"Zagłosowałem za przyjęciem omawianego sprawozdania ze względu na poważny kryzys, który dotknął sektor mleczarski","Zagłosowałem za przyjęciem omawianego sprawozdania ze względu na poważny kryzys, który dotknął sektor mleczarski"
stfɔʒɛɲʲɛ fspulnɛj pɔlitɨki azɨlɔvɛj i imiɡratsɨjnɛj jɛzd dwuɡɔɔkrɛsɔvɨm tsɛlɛm uɲʲi ɛwrɔpɛjskʲɛj kturɨ pɔpʲɛramɨ,"Stworzenie wspólnej polityki azylowej i imigracyjnej jest długookresowym celem Unii Europejskiej, który popieramy","Stworzenie wspólnej polityki azylowej i imigracyjnej jest długookresowym celem Unii Europejskiej, który popieramy"
